ID,Name,Type,Continent,Superregion,Region,Area
1,Stockholm,Land,Europe,Western Europe,Scandinavia,Östra Svealand
2,Östergötland,Land,Europe,Western Europe,Scandinavia,Östra Götaland
3,Kalmar,Land,Europe,Western Europe,Scandinavia,Östra Götaland
4,Bergslagen,Land,Europe,Western Europe,Scandinavia,Östra Svealand
5,Värmland,Land,Europe,Western Europe,Scandinavia,Västra Svealand
6,Lund,Land,Europe,Western Europe,Scandinavia,Skåneland
7,Skaraborg,Land,Europe,Western Europe,Scandinavia,Västra Götaland
8,Dalaskogen,Land,Europe,Western Europe,Scandinavia,Västra Svealand
9,Hälsingland,Land,Europe,Western Europe,Scandinavia,Norrland
10,Jämtland,Land,Europe,Western Europe,Scandinavia,Trøndelag
11,Västerbotten,Land,Europe,Western Europe,Scandinavia,Norrland
12,Sjælland,Land,Europe,Western Europe,Scandinavia,Denmark
13,Slesvig,Land,Europe,Western Europe,North Germany,Schleswig-Holstein
14,Fyn,Land,Europe,Western Europe,Scandinavia,Denmark
15,Vestjylland,Land,Europe,Western Europe,Scandinavia,North Jutland
16,Bohuslän,Land,Europe,Western Europe,Scandinavia,Västra Götaland
17,Akershus,Land,Europe,Western Europe,Scandinavia,Østlandet
18,Lappland,Land,Europe,Western Europe,Scandinavia,Norrland
19,Österbotten,Land,Europe,Western Europe,Scandinavia,Ostrobothnia
20,Trøndelag,Land,Europe,Western Europe,Scandinavia,Trøndelag
21,Hålogaland,Land,Europe,Western Europe,Scandinavia,Trøndelag
22,Opplanda,Land,Europe,Western Europe,Scandinavia,Østlandet
23,Bergenhus,Land,Europe,Western Europe,Scandinavia,Vestlandet
24,Stavanger,Land,Europe,Western Europe,Scandinavia,Vestlandet
25,Gotland,Land,Europe,Western Europe,Scandinavia,Östra Götaland
26,Halland,Land,Europe,Western Europe,Scandinavia,Skåneland
27,Åbo,Land,Europe,Western Europe,Scandinavia,Finland
28,Nyland,Land,Europe,Western Europe,Scandinavia,Finland
29,Tavastland,Land,Europe,Western Europe,Scandinavia,Finland
30,Viborg,Land,Europe,Eastern Europe,Russia,South Karelia
31,Savolax,Land,Europe,Western Europe,Scandinavia,Finland
32,Kexholm,Land,Europe,Eastern Europe,Russia,North Karelia
33,Neva,Land,Europe,Eastern Europe,Russia,South Karelia
34,Ingermanland,Land,Europe,Eastern Europe,Russia,South Karelia
35,Ösel,Land,Europe,Eastern Europe,Baltic,Curonia
36,Reval,Land,Europe,Eastern Europe,Baltic,Estonia
37,Livland,Land,Europe,Eastern Europe,Baltic,Livonia
38,Riga,Land,Europe,Eastern Europe,Baltic,Livonia
39,Goldingen,Land,Europe,Eastern Europe,Baltic,Curonia
40,Memel,Land,Europe,Eastern Europe,Baltic,East Prussia
41,Königsberg,Land,Europe,Eastern Europe,Baltic,East Prussia
42,Warmia,Land,Europe,Eastern Europe,Baltic,East Prussia
43,Danzig,Land,Europe,Eastern Europe,Baltic,West Prussia
44,Hamburg,Land,Europe,Western Europe,North Germany,Lower Saxony
45,Lübeck,Land,Europe,Western Europe,North Germany,Mecklenburg
46,Rostock,Land,Europe,Western Europe,North Germany,Mecklenburg
47,Stralsund,Land,Europe,Western Europe,North Germany,Vorpommern
48,Kolberg,Land,Europe,Western Europe,North Germany,Hinterpommern
49,Neumark,Land,Europe,Western Europe,North Germany,Neumark
